entry_date,entry_price,position,stop_loss,exit_date,exit_price,pnl,open_at_end,symbol,holding_days,return_pct
2024-09-04,3010.810546875,10,2860.27001953125,2024-09-05,3013.80908203125,29.9853515625,,ADANIENT.NS,1,0.0995922895036441
2024-09-06,2973.929443359375,10,2825.2329711914062,2024-09-09,2962.635009765625,-112.9443359375,,ADANIENT.NS,3,-0.3797814914193699
2024-09-11,2936.3486328125,10,2789.5312011718747,2024-09-12,2989.471435546875,531.22802734375,,ADANIENT.NS,1,1.809144940786299
2024-09-13,2966.8330078125,10,2818.491357421875,2024-09-16,2983.37451171875,165.4150390625,,ADANIENT.NS,3,0.5575475216397957
2024-09-19,2941.645751953125,10,2794.5634643554686,2024-09-20,3006.96240234375,653.16650390625,,ADANIENT.NS,1,2.2204118339965846
2024-10-17,3012.209716796875,10,True,2024-10-22,2822.35693359375,-1898.52783203125,,ADANIENT.NS,5,-6.302774409910965
2024-10-22,2822.35693359375,10,2681.239086914062,2024-10-28,2797.2197265625,-251.3720703125,,ADANIENT.NS,6,-0.8906459254691933
2024-10-29,2847.144287109375,10,2704.787072753906,2024-10-30,2967.782470703125,1206.3818359375,,ADANIENT.NS,1,4.237164380461747
2024-11-04,2895.919189453125,10,2751.1232299804688,2024-11-05,2914.06005859375,181.40869140625,,ADANIENT.NS,1,0.626428707219927
2024-11-13,2815.260498046875,10,2674.4974731445313,2024-11-14,2825.35546875,100.94970703125,,ADANIENT.NS,1,0.35858034132644284
2024-11-18,2817.259521484375,10,2676.3965454101562,2024-11-19,2820.05810546875,27.98583984375,,ADANIENT.NS,1,0.09933710270683421
2024-11-21,2182.533935546875,10,2073.407238769531,2024-11-22,2226.861328125,443.27392578125,,ADANIENT.NS,1,2.0310058806493623
2024-11-25,2256.34619140625,10,2143.528881835937,2024-11-26,2149.40087890625,-1069.453125,,ADANIENT.NS,1,-4.739756377249325
2024-11-27,2396.57470703125,10,2276.7459716796875,2024-11-28,2435.854736328125,392.80029296875,,ADANIENT.NS,1,1.6390070871411735
2024-11-29,2461.89111328125,10,2338.7965576171873,2024-12-02,2455.79443359375,-60.966796875,,ADANIENT.NS,3,-0.24764213391120465
2024-12-03,2512.9150390625,10,2387.269287109375,2024-12-04,2493.47509765625,-194.3994140625,,ADANIENT.NS,1,-0.7736012202586249
2024-12-05,2521.260986328125,10,2395.1979370117188,2024-12-06,2505.118896484375,-161.4208984375,,ADANIENT.NS,1,-0.640238750818842
2024-12-09,2494.57470703125,10,2369.8459716796874,2024-12-10,2465.939208984375,-286.35498046875,,ADANIENT.NS,1,-1.1479110233164196
2024-12-11,2455.994140625,10,2333.19443359375,2024-12-12,2502.8203125,468.26171875,,ADANIENT.NS,1,1.9066076380411763
2024-12-20,2343.75146484375,10,2226.5638916015623,2024-12-23,2337.754638671875,-59.96826171875,,ADANIENT.NS,3,-0.2558644234180687
2024-12-24,2371.237548828125,10,2252.6756713867185,2024-12-26,2399.0234375,277.85888671875,,ADANIENT.NS,2,1.1717884901749678
2025-01-10,2373.1865234375,10,True,2025-01-13,2224.0126953125,-1491.73828125,,ADANIENT.NS,3,-6.285802934230619
2025-01-13,2224.0126953125,10,2112.812060546875,2025-01-14,2379.33349609375,1553.2080078125,,ADANIENT.NS,1,6.9838090901466545
2025-01-15,2386.929443359375,10,2267.582971191406,2025-01-16,2426.609375,396.79931640625,,ADANIENT.NS,1,1.6623839364425992
2025-01-22,2375.33544921875,10,2256.568676757812,2025-01-23,2383.78125,84.4580078125,,ADANIENT.NS,1,0.35556244420247385
2025-01-24,2313.9169921875,10,2198.2211425781247,2025-01-27,2258.545166015625,-553.71826171875,,ADANIENT.NS,3,-2.392991034632073
2025-01-28,2284.8818359375,10,2170.637744140625,2025-01-29,2317.415283203125,325.33447265625,,ADANIENT.NS,1,1.423856881958902
2025-01-30,2251.448974609375,10,2138.8765258789062,2025-01-31,2286.630859375,351.81884765625,,ADANIENT.NS,1,1.5626330048953936
2025-02-01,2268.83984375,10,2155.3978515625,2025-02-03,2260.694091796875,-81.45751953125,,ADANIENT.NS,2,-0.35902719072763994
2025-02-13,2243.552734375,10,2131.37509765625,2025-02-14,2151.5498046875,-920.029296875,,ADANIENT.NS,1,-4.100769653320844
2025-02-17,2222.5634765625,10,2111.435302734375,2025-02-18,2219.165283203125,-33.98193359375,,ADANIENT.NS,1,-0.1528952219007384
2025-02-19,2179.685546875,10,2070.70126953125,2025-02-20,2177.886474609375,-17.99072265625,,ADANIENT.NS,1,-0.08253815639619749
2025-02-21,2132.010009765625,10,2025.4095092773437,2025-02-24,2114.06884765625,-179.41162109375,,ADANIENT.NS,3,-0.8415139716603534
2025-02-25,2128.76171875,10,2022.3236328125,2025-02-27,2109.87109375,-188.90625,,ADANIENT.NS,2,-0.8873996950251668
2025-02-28,2094.928955078125,10,1990.1825073242187,2025-03-03,2116.01806640625,210.89111328125,,ADANIENT.NS,3,1.0066742968540685
2025-03-04,2143.703857421875,10,2036.518664550781,2025-03-05,2244.702392578125,1009.9853515625,,ADANIENT.NS,1,4.7114033408381255
2025-04-07,2211.569091796875,10,2100.9906372070313,2025-06-09,2580.780517578125,3692.1142578125,,ADANIENT.NS,63,16.69454629071841
2025-06-19,2420.60009765625,10,2299.5700927734374,2025-06-27,2646.300048828125,2256.99951171875,True,ADANIENT.NS,8,9.324132118742344
