Date,Close,Stock,rsi,ma20,ma50,signal,signal_label
2025-03-26,2222.576904296875,HINDUNILVR.NS,50.2236599965829,2189.9525756835938,2273.3520361328124,0,
2025-03-27,2221.29052734375,HINDUNILVR.NS,49.97626493173617,2189.2276977539063,2270.811748046875,0,
2025-03-28,2235.3427734375,HINDUNILVR.NS,52.71630110495199,2189.9154663085938,2269.1066796875,0,
2025-04-01,2210.60302734375,HINDUNILVR.NS,47.756680172739784,2192.072790527344,2266.72869140625,0,
2025-04-02,2214.610595703125,HINDUNILVR.NS,48.60027657869142,2195.093505859375,2264.60501953125,0,
2025-04-03,2221.191650390625,HINDUNILVR.NS,50.02731569168193,2199.4081298828123,2262.7059912109376,0,
2025-04-04,2221.191650390625,HINDUNILVR.NS,50.02731569168191,2203.0745849609375,2260.7584765625,0,
2025-04-07,2225.990966796875,HINDUNILVR.NS,51.173833931456805,2204.5812377929688,2259.3275244140623,0,
2025-04-08,2265.42626953125,HINDUNILVR.NS,59.41366968909337,2208.7721557617188,2257.76693359375,0,
2025-04-09,2325.544189453125,HINDUNILVR.NS,68.21886167388134,2213.8314575195313,2256.9188525390623,0,
2025-04-11,2341.526123046875,HINDUNILVR.NS,70.07738754693635,2221.213830566406,2256.4695751953127,-1,SELL
2025-04-15,2336.924560546875,HINDUNILVR.NS,68.82933344120976,2229.556103515625,2256.0252490234375,0,
2025-04-16,2341.971435546875,HINDUNILVR.NS,69.47152200848807,2239.0463012695313,2255.1910205078125,0,
2025-04-17,2350.283935546875,HINDUNILVR.NS,70.54780849939563,2249.127783203125,2253.334541015625,-1,SELL
2025-04-21,2326.53369140625,HINDUNILVR.NS,63.643819724760895,2258.0217529296874,2250.265810546875,0,
2025-04-22,2373.7373046875,HINDUNILVR.NS,69.94024237450492,2267.85087890625,2249.409814453125,0,
2025-04-23,2398.576171875,HINDUNILVR.NS,72.6267225978842,2276.8264892578127,2249.1277783203127,0,
2025-04-24,2301.101318359375,HINDUNILVR.NS,52.71603027533116,2280.74033203125,2247.82646484375,0,
2025-04-25,2307.929443359375,HINDUNILVR.NS,53.67412208687961,2284.5007934570312,2247.0248974609376,0,
2025-04-28,2294.470947265625,HINDUNILVR.NS,51.46077622107093,2286.841174316406,2246.1293115234375,0,
2025-04-29,2297.53857421875,HINDUNILVR.NS,51.94717663904252,2290.5892578125,2245.3425830078127,0,
2025-04-30,2317.7265625,HINDUNILVR.NS,55.13355918072782,2295.4110595703123,2245.8739990234376,0,
2025-05-02,2294.470947265625,HINDUNILVR.NS,50.9429017905974,2298.367468261719,2245.5988916015626,0,
2025-05-05,2324.158935546875,HINDUNILVR.NS,55.58421705071606,2304.045263671875,2246.13525390625,0,
2025-05-06,2357.01318359375,HINDUNILVR.NS,60.084839091757324,2311.165393066406,2247.391044921875,0,
2025-05-07,2346.127685546875,HINDUNILVR.NS,57.9882343585214,2317.4121948242187,2248.2104296875,0,
2025-05-08,2330.39306640625,HINDUNILVR.NS,55.00070272726632,2322.872265625,2249.3761669921873,0,
2025-05-09,2308.6220703125,HINDUNILVR.NS,51.07944368272569,2327.0038208007813,2251.008994140625,0,
2025-05-12,2357.7060546875,HINDUNILVR.NS,58.29814200882439,2331.617810058594,2253.670009765625,0,
2025-05-13,2335.440185546875,HINDUNILVR.NS,54.378223424575744,2332.1126098632812,2256.0123828125,0,
2025-05-14,2326.0390625,HINDUNILVR.NS,52.765005319540606,2331.3382568359375,2258.1706884765626,0,
2025-05-15,2330.68994140625,HINDUNILVR.NS,53.49996136201339,2331.0265258789063,2260.0687255859375,0,
2025-05-16,2356.617431640625,HINDUNILVR.NS,57.47257820298056,2331.758825683594,2262.769326171875,0,
2025-05-19,2357.90380859375,HINDUNILVR.NS,57.66582261544409,2332.1398193359373,2266.578271484375,0,
2025-05-20,2316.73681640625,HINDUNILVR.NS,49.857869807267356,2331.6499755859377,2269.82908203125,1,BUY
2025-05-21,2339.29931640625,HINDUNILVR.NS,53.5685513769393,2329.928076171875,2273.9170849609377,0,
2025-05-22,2306.445068359375,HINDUNILVR.NS,47.998403843483075,2325.3215209960936,2277.0887353515627,1,BUY
2025-05-23,2334.6484375,HINDUNILVR.NS,52.55883864737345,2326.998876953125,2279.8645458984374,0,
2025-05-26,2369.185302734375,HINDUNILVR.NS,57.47676967445091,2330.061669921875,2283.61609375,0,
